"","x3p_path","barrel","bullet","land","img_path","rescan","quality","quality_type","lighting","lighting_protocol","damaged","assess_rotation","extract_na","assess_percentile_na_proportion","assess_middle_na_proportion","assess_col_na","assess_bottomempty"
"1","LAPD//FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"A",1,"LAPD-FAU001-BA-L1.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.491281027693021,13.8739502393847,0.00669934640522876,0.0264241511385982,0.862773722627737,23.1789997930803
"2","LAPD//FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"A",2,"LAPD-FAU001-BA-L2.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.00891867673183881,11.9544576328283,0.000382116927779901,0.0152775718318614,0.879300928454396,20.2798763342094
"3","LAPD//FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"A",3,"LAPD-FAU001-BA-L3.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.779943587355191,11.663989729706,0.00312267657992565,0.0268450289239835,0.951368588891842,28.4428123917893
"4","LAPD//FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"A",4,"LAPD-FAU001-BA-L4.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",1.39536207149793,12.0305766323315,0.00183823529411765,0.027765798401472,1.07358738501971,31.3451585928378
"5","LAPD//FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"A",5,"LAPD-FAU001-BA-L5.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.67750981754275,13.5050453330023,0.00347890451517395,0.0384287919962815,1.02910052910053,35.280868076567
"6","LAPD//FAU 1/Bullet A/LAPD - 1 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"A",6,"LAPD-FAU001-BA-L6.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.686716290229655,11.5511953678194,0,0.00869962804994249,0.948933929981574,20.2094392798228
"7","LAPD//FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"B",1,"LAPD-FAU001-BB-L1.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",1.57213086002129,13.6050126618629,0.0040625,0.0278934215426151,0.995531974308852,26.8912744928635
"8","LAPD//FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"B",2,"LAPD-FAU001-BB-L2.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.130752326454257,14.0276636275159,0.00419687142312095,0.0379843334508626,0.963740458015267,31.7983543174383
"9","LAPD//FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"B",3,"LAPD-FAU001-BB-L3.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.78609329306939,11.9431144099076,0.00667408231368187,0.0393042617744575,1.01086380498145,31.1031231334837
"10","LAPD//FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"B",4,"LAPD-FAU001-BB-L4.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.384877859351567,11.3720226211412,0.00184229918938836,0.0219485174323884,1.08243350013168,26.9464677443812
"11","LAPD//FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"B",5,"LAPD-FAU001-BB-L5.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",1.64210869472365,11.7405382719198,0.00266058532877233,0.0309687470580699,0.938858695652174,28.9525691699605
"12","LAPD//FAU 1/Bullet B/LAPD - 1 - Bullet B - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"B",6,"LAPD-FAU001-BB-L6.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.0361050046421162,14.0454506766533,0,0.0277766038410066,1,29.8913898539399
"13","LAPD//FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"C",1,"LAPD-FAU001-BC-L1.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.633377799179276,15.1454404861854,0.0107820804859529,0.041292852957537,1.0067842605156,30.933840528098
"14","LAPD//FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"C",2,"LAPD-FAU001-BC-L2.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.905605831774139,12.5604685401802,0.00313784086664177,0.0328860957841575,0.981046449546183,29.0331191981124
"15","LAPD//FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"C",3,"LAPD-FAU001-BC-L3.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.0701199998022801,18.561534949561,0.00835820895522388,0.0466651521056913,1.20698853027474,38.2403701267226
"16","LAPD//FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"C",4,"LAPD-FAU001-BC-L4.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.437905504569205,16.7530581824666,0.00235640648011782,0.0411407199625993,1.16214793366675,35.8956426512405
"17","LAPD//FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"C",5,"LAPD-FAU001-BC-L5.png",FALSE,"bad","tiny hole","auto light left image + 20%",1,"#N/A",0.491381266711315,14.8349282296651,0.00787633419212367,0.0421823832285357,1.13289473684211,33.9480115244122
"18","LAPD//FAU 1/Bullet C/LAPD - 1 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"C",6,"LAPD-FAU001-BC-L6.png",FALSE,"bad","tiny hole","auto light left image + 20%",1,"#N/A",1.90335053463652,14.9361727253046,0.0155522163786627,0.0458975047442443,1.14228187919463,33.684321019242
"19","LAPD//FAU 1/Bullet D/LAPD - 1 - Bullet D - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"D",1,"LAPD-FAU001-BD-L1.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.299999293268942,14.7715352570603,0.00404709345106696,0.025191444704522,1.03602419142782,27.9814593047779
"20","LAPD//FAU 1/Bullet D/LAPD - 1 - Bullet D - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"D",2,"LAPD-FAU001-BD-L2.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.35965557207687,13.875961998412,0.00919793966151582,0.0198551740247606,1.10044701551407,26.0591974900712
"21","LAPD//FAU 1/Bullet D/LAPD - 1 - Bullet D - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"D",3,"LAPD-FAU001-BD-L3.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",2.69280031123444,10.5543416285301,0.00532741398446171,0.00450918070706956,0.987572712850344,20.6773816188531
"22","LAPD//FAU 1/Bullet D/LAPD - 1 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"D",4,"LAPD-FAU001-BD-L4.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.291366467914522,15.4115388460739,0.00645161290322581,0.0266265584462412,1.11950185479597,28.9692400698093
"23","LAPD//FAU 1/Bullet D/LAPD - 1 - Bullet D - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"D",5,"LAPD-FAU001-BD-L5.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.496203104898449,11.5385549214714,0.00732905175670571,0.0191831136821793,1.05156587473002,21.8960928873491
"24","LAPD//FAU 1/Bullet D/LAPD - 1 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",1,"D",6,"LAPD-FAU001-BD-L6.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.754183071146314,10.1484715425178,0.00412448443944507,0.0202901979917101,0.817256162915327,23.9159041928464
"25","LAPD//FAU 2/Bullet A/LAPD - 2 - Bullet A - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",2,"A",1,"LAPD-FAU002-BA-L1.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",1.19127864699982,14.6342091684784,0.00547112462006079,0.0182730578306482,1.01331160010867,25.7503127603293
"26","LAPD//FAU 2/Bullet A/LAPD - 2 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",2,"A",2,"LAPD-FAU002-BA-L2.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.601797401971717,13.5547237137208,0.00699815837937385,0.0315846714620207,1.12032648762507,28.9264504598551
"27","LAPD//FAU 2/Bullet A/LAPD - 2 - Bullet A - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",2,"A",3,"LAPD-FAU002-BA-L3.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",1.5319592548402,12.6443790710607,0.00294225818315557,0.0234624648838535,1.05546792849632,29.4898460539043
"28","LAPD//FAU 2/Bullet A/LAPD - 2 - Bullet A - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",2,"A",4,"LAPD-FAU002-BA-L4.png",FALSE,"bad","hole","auto light left image + 20%",1,"#N/A",1.43258764509074,15.8893953402533,0.0373068432671082,0.036223961704894,1.09781751249014,34.0834228469627
"29","LAPD//FAU 2/Bullet A/LAPD - 2 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",2,"A",5,"LAPD-FAU002-BA-L5.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.472604410945793,16.1760694371949,0.0027483313702395,0.0514701337987968,1.02470522178551,38.3461409479775
"30","LAPD//FAU 2/Bullet A/LAPD - 2 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p",2,"A",6,"LAPD-FAU002-BA-L6.png",FALSE,"good","","auto light left image + 20%",1,"#N/A",0.157998144118508,14.3671925821459,0.00192159877017679,0.0248880435202638,0.968140620708597,27.3318185979543
